,Sentence
684,"Pevec, I. (2007)."
685,"Vancouver, Canada: Evergreen."
686,"Green Teacher, 70, 25–28."
687,"Personal life Pevec was born in Brazil, but was brought up in Denver, Colorado."
688,"Pevec partnered with Tracy Penner to design and construct a garden that would serve inner city children as an outdoor learning environment for fine arts, gardening and cooking at the Grandview U'uqinak'uuh Community School in Vancouver."
689,"Pevec also developed a curriculum for students to learn about the garden's plants, uses, and folklore."
690,"The project won the ""Creating Healthy Communities for Children and Youth"" award from the Canadian Society for Children and Youth."
691,"In 2011, she received her doctoral degree in Design and Planning from the College of Architecture and Planning at the University of Colorado, Denver."
692,"Pevec, I. (2005)."
693,"Her approach to education and life has roots in her experiences hiking, gardening, skiing and swimming as a child."
694,She also created school gardens and horticulture education programs at Roaring Fork High School and Yampah Mountain High School.
695,"Children, Youth and Environments 17 (4)."
696,Pevec coordinates garden education with regional schools in four counties and creates gardening curriculums for Colorado teachers in support of active learning.
697,"Pevec, I., (2000)."
698,"She worked with educators to develop community youth gardens in Santo Angelo, São Borja and Rocinha."
699,"Health and Place, 28, 1-13."
700,Zunzi has chronicled Hong Kong affairs for over 40 years from his drawing board.
701,"Zunzi has been called ""the territory's most prominent political cartoonist""; he has depicted Jiang Zemin, Liu Xiaobo and Xi Jinping."
702,"Prior to 2002, his works were published mainly in the Ming Pao Daily, Apple Daily and Next Magazine."
703,See also Society-related comics References
704,Zunzi has held international exhibitions in places like Toronto and Vancouver.
705,He started to publish cartoons in newspapers and magazines in the late 1970s.
706,"Zunzi has been working since 1980 for the Ming Pao Daily News, where he was given a daily column for his satirical political cartoons."
707,Biography Zunzi studied Fine Arts in the Chinese University of Hong Kong.
708,The Zunzi page at the Hong Kong Art Archive contains 16 works.
709,He has worked as a staff writer.
710,"Wong Kei-kwan (Chinese: 黃紀鈞, born 1955), better known by his pen name Zunzi (Chinese: 尊子), is a political cartoonist living in Hong Kong."
711,He studied German literature and philosophy at the University of Fribourg.
712,"In 2001, he was awarded the Förderpreis des Bremer Literaturpreises, the 3sat award at the Ingeborg Bachmann Competition in 2002, and the Clemens-Brentano-Preis in 2004."
713,He performed with LDeeP and has composed music for a number of plays.
714,"He subsequently published ""Kobold and the Kunstpfeifer"" in 2002, ""The opposite of meat"" in 2003, and ""Poems of craze and longing"" in 2008."
715,He also worked on two plays with Samuel Schwarz – Maxim Gorki Theatre and Deutsches Schauspielhaus (Hamburg).
716,He has also translated plays and poetry.
717,Career Raphael Urweider is the son of a reformed minister.
718,"In 2009, he received the 'Schillerpreis' for his poetry in 'Alle deine Namen'."
719,"His first volume of poetry, Light in Menlo Park, was published in 2000."
720,He is a writer in English and German and a musician.
721,References External links Literature by and about Raphael Urweider in the German National Library catalogue
722,"Raphael Bendicht Urweider was born on 5 November 1974 in Bern, Switzerland."
723,The marriage certificate gives his profession as journalist.
724,"Life Rook was born in Faversham, Kent, as the son of bookseller and postmaster Henry John Rook."
725,He married Clara Wright in September 1893.
726,"Bibliography 1896, George Bernard Shaw 1898, The Stir Outside The Café Royal 1899, The Hooligan Nights: Being the Life and Opinions of a Young and Impertinent Criminal Recounted by Himself and Set Forth by Clarence Rook, reprinted 1901, 1906, 1907, 1908, 1910; Oxford Paperbacks, with an introduction by Benny Green (1979) 1900, A Lesson for Life 1907, Switzerland; the Country and its People, with illustrations by Effie Jardine (1857 – c. 1931) 1908, London Side-Lights References Benny Green, introduction to The Hooligan Nights, Oxford University Press (1979)."
727,"The book purports to be a factual report on the London underworld, but contemporary reviewers were skeptical."
728,"He rose to fame with his novel on working-class life in the East End of London, The Night of the Hooligan, published in 1899."
729,Dictionary of Literary Biography
730,"He was befriended by Louis Frederic Austin, and was a member of the Argonaut's Club, a literary society whose other members included Rudolph Lehman, Florence Marryat, Bernard Partridge, John Alfred Spender, George Paston and William Henry Wilkins."
731,"Richards's autobiographical notes seem to confirm this, but it is possible that Richards was writing to perpetuate the literary fiction of Rook."
732,"Rook also wrote a detective-story, The Stir Outside The Café Royal, published in the September 1898 edition of The Harmsworth Magazine."
733,"He left his wife the sum of GBP 1300 (about GBP 130,000 in 2019 money)."
734,"Green (1979) in the introduction to the OUP edition, in any case, points out some possible fictional sources for episodes in the book."
735,His 1907 book on Switzerland is a serious study of the Swiss national character and republican institutions.
736,"Clarence Rook (1862/3–1915) was a British writer and journalist, known for his short, witty sketches of late Victorian and Edwardian London."
737,He was in Bristol as a civil service examination tutor in 1891.
738,Rook died after prolongued illness in December 1915.
739,"He became a fairly successful London journalist in the 1890s, writing for The Globe with E. V. Lucas, contributing to the ""By the Way"" column, The Daily Chronicle with Henry Nevinson, where he founded the ""Office Window"" column, The Illustrated London News, The Idler, The Ludgate Monthly, The Art Journal."
740,Rook retired from writing early and unexpectedly.
741,He visited Gran Canaria in 1909.
742,"His death certificate suggests that he had suffered from locomotor ataxia, a symptom of advanced stage syphilis, for the last 26 years."
743,"Rook studied at Oriel College, Oxford, from 1881 to 1886."
744,"Rook claims that the protagonist, named Alf, was introduced to him by publisher Grant Richards."
745,He became known in London's literary circles and was strongly praised by George Bernard Shaw.
746,"He visited St Louis in 1904, a trip he wrote about in a piece with the title ""American Manners"" in 1906."
747,"Rook also placed some of the characters of The Hooligan Nights in a clearly fictional story called ""The Stakes"" published in Pall Mall Magazine in 1900."
748,"Green (1915) suggests that he had disappeared suddenly and without leaving a trace, and indeed Rook's early retirement and death and his comparatively small body of work has left him far more obscure than his contemporaries of the literary establishment of Edwardian London such as George Gissing, Rudyard Kipling, Arthur Morrison or Walter Besant."
749,On 24 May 2012 President Mohammed Waheed Hassan appointed Ilyas Hussain Ibrahim as Minister of State for Defence and National Security.
